w191,10434,0.1,0.843,0.058,-0.998
w192,6710,0.081,0.848,0.071,-0.9459
w193,67,0.0,1.0,0.0,0.0
w194,317,0.0,1.0,0.0,0.0
w195,2956,0.063,0.872,0.066,-0.3832
w196,2909,0.038,0.899,0.063,0.7774
w197,1640,0.01,0.861,0.129,0.9686
w198,6987,0.045,0.904,0.051,0.881
w199,923,0.054,0.921,0.025,-0.5267
w200,11472,0.059,0.84,0.1,0.9975
w201,6246,0.055,0.885,0.061,0.6114
w202,3860,0.077,0.898,0.025,-0.9855
w203,4746,0.075,0.9,0.025,-0.9856
w204,6201,0.052,0.922,0.025,-0.9769
w205,4411,0.027,0.908,0.065,0.979
w206,5902,0.029,0.903,0.068,0.9871
w207,1447,0.0,0.954,0.046,0.8611
w208,10245,0.039,0.893,0.068,0.9931
w209,517,0.0,0.92,0.08,0.7456
w210,718,0.0,0.908,0.092,0.7488
w211,6589,0.045,0.868,0.086,0.9895
w212,3839,0.06,0.797,0.143,0.9892
w213,94,0.136,0.864,0.0,-0.296
w214,9230,0.038,0.91,0.053,0.9683
w215,6817,0.073,0.87,0.057,-0.8792
w216,4864,0.048,0.889,0.063,0.791
w217,3101,0.078,0.859,0.064,-0.8436
w218,5311,0.059,0.887,0.055,-0.2679
w219,5338,0.169,0.769,0.062,-0.9989
w220,979,0.0,0.938,0.062,0.7003
w221,8822,0.072,0.849,0.079,0.9191
w222,1905,0.078,0.823,0.099,0.5994
w223,7075,0.046,0.869,0.085,0.9917
w224,172,0.099,0.901,0.0,-0.3182
w225,184,0.0,1.0,0.0,0.0
w226,11039,0.042,0.882,0.075,0.9951
w227,2468,0.074,0.854,0.072,-0.0173
w228,868,0.024,0.976,0.0,-0.4404
w229,5168,0.056,0.887,0.057,-0.0751
w230,4533,0.022,0.888,0.09,0.9883
w231,7884,0.037,0.875,0.088,0.9956
w232,109,0.0,1.0,0.0,0.0
w233,7487,0.025,0.923,0.051,0.9806
w234,15558,0.07,0.821,0.109,0.9978
w235,86,0.136,0.739,0.125,-0.0516
w236,3449,0.052,0.872,0.076,0.9327
w237,5936,0.079,0.874,0.048,-0.9868
w238,1502,0.013,0.944,0.043,0.7691
w239,1477,0.0,0.994,0.006,0.0772
w240,88,0.0,1.0,0.0,0.0
w241,6283,0.044,0.861,0.095,0.9958
w242,7946,0.033,0.879,0.088,0.9963
w243,3975,0.033,0.894,0.072,0.9747
w244,5217,0.027,0.88,0.093,0.9936
w245,6679,0.056,0.855,0.09,0.9893
w246,6770,0.043,0.902,0.055,0.7789
w247,2134,0.007,0.932,0.061,0.9486
w248,277,0.447,0.553,0.0,-0.97
w249,35,0.0,1.0,0.0,0.0
w250,4345,0.039,0.886,0.076,0.976
w251,348,0.0,1.0,0.0,0.0
w252,13334,0.054,0.874,0.072,0.9874
w253,11540,0.041,0.873,0.086,0.9941
w254,348,0.0,1.0,0.0,0.0
w255,7786,0.049,0.824,0.128,0.9987
w256,13652,0.034,0.852,0.114,0.9992
w257,6772,0.147,0.768,0.084,-0.9983
w258,10793,0.038,0.829,0.133,0.9995
w259,9437,0.034,0.89,0.077,0.9915
w260,88,0.0,1.0,0.0,0.0
w261,9538,0.036,0.906,0.058,0.9802
w262,23901,0.046,0.825,0.129,0.9999
w263,4079,0.03,0.828,0.142,0.9967
w264,37,0.0,1.0,0.0,0.0
w265,4147,0.035,0.899,0.066,0.9676
w266,13062,0.051,0.877,0.072,0.9945
w267,11940,0.086,0.861,0.053,-0.9961
w268,12291,0.063,0.876,0.061,-0.4727
w269,13562,0.045,0.865,0.09,0.9981
w270,159,0.16,0.764,0.076,-0.34
w271,10313,0.03,0.907,0.063,0.9941
w272,115,0.0,1.0,0.0,0.0
w273,3118,0.018,0.93,0.052,0.9421
w274,7332,0.086,0.793,0.121,0.9921
w275,200,0.209,0.791,0.0,-0.8122
w276,8823,0.063,0.858,0.08,0.2113
w277,18242,0.07,0.852,0.078,0.9033
w278,7138,0.065,0.856,0.078,0.8932
w279,16840,0.027,0.893,0.08,0.9987
w280,8485,0.011,0.909,0.08,0.9975
w281,9069,0.122,0.757,0.121,-0.9592
w282,123,0.0,1.0,0.0,0.0
w283,110,0.0,0.903,0.097,0.1027
w284,5027,0.063,0.876,0.061,-0.7083
w285,10802,0.1,0.777,0.123,0.9958
w286,875,0.0,0.961,0.039,0.4753
w287,18321,0.03,0.915,0.055,0.9963
w288,16823,0.034,0.896,0.07,0.9979
w289,62,0.0,1.0,0.0,0.0
w290,9513,0.074,0.82,0.106,0.9785
w291,9576,0.03,0.883,0.087,0.9949
w292,230,0.0,1.0,0.0,0.0
w293,3909,0.049,0.904,0.047,-0.5775
w294,2075,0.0,0.937,0.063,0.9573
w295,88,0.0,1.0,0.0,0.0
w296,46,0.0,1.0,0.0,0.0
w297,6583,0.025,0.905,0.07,0.9895
w298,18127,0.012,0.929,0.058,0.999
