complicated,case,court,told
case,court,told,time
court,told,time,editor
told,time,editor,registered
time,editor,registered,ireland
editor,registered,ireland,523712
registered,ireland,523712,[
data-mining,firm,cambridge,analytica
rating-thumb,rating,listing-body,time-label
listing-action,share-macro,listing-action,view
post,author,credit,author
author,credit,author,position
business,insider,us,-
facebook,twitter,google,linkedin
inheritance,2,jun,2018
qatar,wrong,thing,rules
wrong,thing,rules,government
markets,money,wealth,advisor
garden,luxury,follow,us
data,company,cambridge,analytica
china,morning,post,sat
morning,post,sat,jun
post,sat,jun,2
cambridge,analytica,obtained,data
business,business,standard,premium
analytica,ceo,alexander,nix
50,million,users,data
2018,0700,ist,womens
0700,ist,womens,asia
via,filter,thecontent,addthis
communications,sdn,bhd,[
cambridge,analytica,data,firm
improperly,shared,cambridge,analytica
new,york,times,reported
facebook,cambridge,analytica,data
facebook,analytica,data,scandal
google,code,remarketing,tag
ist,follow,email,author
donald,trumps,2016,election
saturday,2,june,2018
ceo,mark,zuckerberg,told
facebook,boss,mark,zuckerberg
cambridge,analytica,mark,zuckerberg
raidi,teilifs,ireann,ireland
teilifs,ireann,ireland,understand
ireann,ireland,understand,[
cambridge,analytica,chief,executive
footer,site,map,social
didnt,enough,prevent,tools
enough,prevent,tools,used
prevent,tools,used,harm
],class,lt-ie7,langen-us
move,fast,break,things
singapore,sat,jun,2
et,last,updated,march
],required,meta,tags
required,meta,tags,title
store,google,newsstand,loading
google,newsstand,loading,home
told,channel,4,news
girls,around,candidates,house
tag,begin,zedo,channel
ceo,mark,zuckerberg,said
cambridge,analytica,scandal,-
newspaper,archive,2018,[
email,address,name,email
address,name,email,address
standard,non-sticky,navigation,redesign
simple,share,buttons,adder
lte,ie,8,[
